阿胶	［同］驴皮胶 
聊以解嘲	［同］望梅止渴 画饼充饥 自慰 聊以自慰 
聊以自慰	［同］聊以解嘲 望梅止渴 画饼充饥 自慰 
僚友	［同］同事 同人 同仁 同僚 
僚佐	［同］帮办 下手 帮手 羽翼 
疗	［同］治病 看病 医治 看 
疗程	［同］日程 议程 
疗效	［同］工效 时效 速效 肥效 
疗养	［同］休养 静养 养 调护 
疗养所	［同］休养院 休养所 疗养院 
疗养院	［同］疗养所 休养院 休养所 
燎	［同］糊 烧焦 
燎原之势	［同］破竹之势 
寥阔	［同］辽阔 广阔 宽阔 开阔 
寥寥可数	［同］寥寥无几 寥若星晨 屈指可数 硕果仅存 ［反］不计其数 不可胜数 数不胜数 举不胜举 不胜枚举 
寥寥无几	［同］寥若星晨 屈指可数 硕果仅存 寥寥可数 ［反］多如牛毛 比比皆是 俯拾即是 触目皆是 目不暇接 
寥落	［同］单薄 简单 
寥若星晨	［同］屈指可数 硕果仅存 寥寥可数 寥寥无几 ［反］多如牛毛 比比皆是 俯拾即是 触目皆是 目不暇接 
辽阔	［同］广阔 宽阔 开阔 寥阔 ［反］狭小 窄小 狭窄 
潦草	［同］草草 马虎 含糊 草率 ［反］工整 
潦草塞责	［同］虚应故事 漫不经心 掉以轻心 丢三落四 
潦倒	［同］坎坷 落泊 落拓 
了不得	［同］不得了 
了解	［同］理解 懂得 知道 晓得 
了局	［同］终局 结幕 终结 结局 
了如指掌	［同］一目了然 知已知彼 明察秋毫 
了望	［同］眺望 守望 远眺 临眺 
了帐	［同］清帐 
撂	［同］厝 放 搁 置 
撂交	［同］载跟头 跌跤 摔跤 栽交 
撂手不管	［同］丢手 甩手 脱身 撇开 
料1	［同］材 物资 资材 材料 
料2	［同］饲料 草料 秣 食 
料到	［反］不料 
料理1	［同］操持 处置 安排 处理 
料理2	［同］张罗 操持 调停 调理 
料峭	［同］苦寒 严寒 酷寒 高寒 
料事如神	［同］独具只眼 明察秋毫 见微知著 
料想	［同］预想 预期 预料 意想 
料子	［同］毛料 衣料 匹头 
列1	［同］排 班 行列 行 
列2	［同］排列 排 列队 
列3	［同］行 排 进 溜 
列车	［同］机车 火车头 
列车员	［同］乘务员 
列岛	［同］半岛 岛弧 海岛 群岛 
列队	［同］列 排列 排 
列举	［同］罗列 数说 
列缺	［同］闪电 电 飞火 
列位	［同］诸公 同志们 各位 
列席	［同］参加 到 到场 出席 
列祖列宗	［同］祖宗十八代 曾祖 高祖 远祖 
裂	［同］分裂 破裂 开绽 裂开 
裂变	［同］衰变 
裂化	［同］裂解 
裂解	［同］裂化 
裂开	［同］裂 分裂 破裂 开绽 
裂口	［同］缺口 破口 
烈	［同］烈性 血气 
烈火	［同］大火 火海 
烈日	［同］炎日 骄阳 
烈士	［同］志士 
烈属	［同］军属 遗属 
烈性1	［同］姜桂之性 刚烈之性 
烈性2	［同］血气 烈 
劣	［反］优 
劣等	［反］优等 
劣等生	［反］优等生 
劣迹	［同］坏事 勾当 
劣马	［反］好马 良马 骏马 千里马 
劣势	［反］优势 
劣种	［反］良种 
猎刀	［同］劈刀 绞刀 戒刀 砍刀 
猎户	［同］猎手 猎人 
猎取	［同］吸取 摄取 截取 换取 
猎人	［同］猎户 猎手 
猎手	［同］猎人 猎户 
林	［同］树林 树林子 
林海	［同］老林 森林 丛林 平林 
林檎	［同］沙果 
磷光	［同］荧光 霞光 色光 闪光 
磷火	［同］鬼火 
临	［同］临到 涉临 濒于 
临别	［同］握别 永别 永诀 死别 
临别赠言	［同］话别 叙别 道别 
临池	［同］习字 学书 
临到	［同］涉临 濒于 临 
临风	［同］逆风 顶风 当风 迎风 
临禁	［同］幽禁 幽囚 拘囚 囚禁 
临近	［同］挨近 靠近 邻近 接近 ［反］离开 远离 
临渴掘井	［同］临阵磨枪 抱佛脚 临时抱佛脚 急来抱佛脚 ［反］未雨绸缪 曲突徙薪 
临摹	［同］摹写 描摹 影写 影钞 
临暮	［同］日暮 垂暮 傍晚 黄昏 
临期	［同］到期 到时 届时 届期 
临深履薄	［同］三思而行 
临时1	［同］旋 现 即兴 ［反］常设 
临时2	［同］暂时 
临时抱佛脚	［同］急来抱佛脚 临渴掘井 临阵磨枪 抱佛脚 
临时工1	［同］短工 零工 
临时工2	［同］合同工 
临眺	［同］了望 眺望 守望 远眺 
临危	［同］临终 垂死 垂危 濒危 
临危不惧	［同］无所畏惧 前赴后继 前仆后继 生死置之度外 ［反］望风而逃 临阵脱逃 
临月	［同］足月 
临阵磨枪	［同］抱佛脚 临时抱佛脚 急来抱佛脚 临渴掘井 
临阵脱逃	［同］逃之夭夭 远走高飞 望风而逃 落荒而逃 ［反］冲锋陷阵 临危不惧 
临终	［同］垂死 垂危 濒危 临危 
邻近1	［同］附近 ［反］离开 远离 
邻近2	［同］接近 临近 挨近 靠近 
邻近3	［同］近边 近处 附近 就近 
邻居1	［同］街坊 
邻居2	［同］邻人 邻舍 邻里 近邻街坊 
邻里1	［同］近邻街坊 邻居 邻人 邻舍 
邻里2	［同］同乡 乡人 乡里 乡亲 
邻人	［同］邻舍 邻里 近邻街坊 邻居 
邻舍	［同］邻里 近邻街坊 邻居 邻人 
鳞	［同］鳞片 鱼鳞 
鳞波	［同］漩涡 涡流 涟漪 漪澜 
鳞甲	［同］鳞介 
鳞介	［同］鳞甲 
鳞片	［同］鱼鳞 鳞 
鳞爪	［同］片断 断片 一鳞半爪 
淋1	［同］打 浇 
淋2	［同］漉 过滤 过淋 滤 
凛秋	［同］暮秋 残秋 秋末 寒秋 
凛若冰霜	［同］声色俱厉 正襟危坐 一本正经 面孔铁板 
吝惜	［同］不舍 舍不得 不舍得 ［反］舍得 不惜 
吝啬	［同］鄙吝 贫气 手紧 小气 ［反］大方 慷慨 
拎	［同］提溜 提 
玲珑	［同］细密 精密 精美 精妙 
零	［同］洞 ［反］整 
零工	［同］临时工 短工 
零花1	［同］零钱 月钱 零用 
零花2	［同］零用 
零件	［同］机件 器件 
零料	［同］零头 尺头儿 
零卖	［同］零销 零售 
零七八碎	［同］铺底 
零钱	［同］月钱 零用 零花 ［反］整钱 
零散	［同］碎 零碎 细碎 零星零落 
零食	［同］荤食 素食 
零售	［同］零卖 零销 ［反］批发 
零数1	［同］零头 ［反］整数 成数 
零数2	［同］奇 尾数 
零碎	［同］细碎 零星零落 零散 碎 
零头1	［同］尺头儿 零料 ［反］整数 成数 
零头2	［同］零数 
零销	［同］零售 零卖 
零星	［同］点滴 少 微少 个别 
零星零落	［同］零散 碎 零碎 细碎 
零用1	［同］零花 
零用2	［同］零花 零钱 月钱 
铃	［同］铃铛 令丁 铃铎 响器 
铃铎	［同］响器 铃 铃铛 令丁 
铃铛	［同］令丁 铃铎 响器 铃 
伶俐	［反］愚笨 笨拙 愚蠢 笨 
伶牙俐齿	［同］才辩无双 语惊四座 
凌	［同］凌锥 冰锥 冰 冰凌 
凌逼	［同］威胁 威慑 胁迫 威逼 
凌晨	［同］侵晨 迎晨 薄晨 黎明 ［反］黄昏 傍晚 
凌驾	［同］超过 超出 超越 压倒 
凌空	［同］凌霄 腾空 
凌乱	［反］整齐 齐整 
凌虐	［同］虐害 肆虐 虐待 
凌辱	［同］挫辱 侮辱 污辱 玷辱 
凌霄	［同］腾空 凌空 
凌汛	［同］春汛 秋汛 桃[花]汛 伏汛 
凌云	［同］亭亭 高 万丈 摩天 
凌锥	［同］冰锥 冰 冰凌 凌 
灵	［反］笨 拙 呆 
灵便	［同］灵敏 手巧 灵巧 灵活 ［反］笨拙 蠢笨 
灵丹	［同］妙药 灵丹妙药 回春灵药 特效药 
灵丹妙药	［同］回春灵药 特效药 灵丹 妙药 
灵府	［同］胸次 胸臆 中怀 衷心 
灵光	［同］激光 珠光 夜光 反光 
灵光独存	［同］岿然独存 硕果仅存 鲁殿灵光 
灵魂1	［同］人格 人品 品质 格调 ［反］肉体 躯壳 躯体 
灵魂2	［同］心肝 天良 良心 人心 
灵魂3	［同］中枢 心脏 
灵活1	［同］机变 变通 回旋 权宜 ［反］死板 呆板 呆滞 僵硬 拘泥  
灵活2	［同］灵便 灵敏 手巧 灵巧 
灵活性	［反］原则性 
灵机一动	［同］急中生智 ［反］深思熟虑 深谋远虑 深思远虑 冥思苦索 殚精竭虑 
灵敏	［同］手巧 灵巧 灵活 灵便 ［反］迟钝 痴 
灵牌	［同］灵位 神主 牌位 
灵巧1	［同］机智 机灵 机敏 机警 ［反］笨拙 蠢笨 
灵巧2	［同］灵活 灵便 灵敏 手巧 
灵巧3	［同］轻巧 精巧 
灵通	［反］团塞 
灵位	［同］神主 牌位 灵牌 
灵秀	［同］娟秀 秀美 秀气 清秀 
灵芝	［同］鬼笔 狗尿苔 因银耳 白木耳 
陵雨	［同］暴风雨 雷暴雨 
陵园	［同］寝园 
岭	［同］山 地脊 山脉 山峰 
岭冈	［同］山冈 山冈子 山包 墚 
领1	［同］件 袭 ［反］发 
领2	［同］领口 衣领 领子 
领3	［同］取 领取 提取 提 
领地1	［同］封地 属地 采地 
领地2	［同］领空 领海 领水 
领队	［同］带队 带领 统率 统领 
领港	［同］领江 领航 引水员 
领海	［同］领水 领地 领空 ［反］公海 
领航	［同］引水员 领港 领江 
领会	［同］理会 意会 领悟 会心 
领江	［同］领航 引水员 领港 
领教	［同］承教 叨教 
领结	［同］蝴蝶结 
领空	［同］领海 领水 领地 
领口	［同］衣领 领子 领 
领取	［同］提取 提 领 取 ［反］发放 
领受	［同］收受 经受 禀受 接受 
领水	［同］领地 领空 领海 
领头	［同］领衔 为首 居首 带头 
领土	［同］疆土 疆域 领域 土地 
领悟	［同］会心 领会 理会 意会 
领洗	［同］受洗 
领先	［同］奋勇当先 打头 打先锋 占先 
领衔	［同］为首 居首 带头 领头 
领养	［同］抱养 
领有	［同］所有 有 拥有 保有 
领域	［同］土地 领土 疆土 疆域 
领章	［同］肩章 臂章 
领子	［同］领 领口 衣领 
另加	［同］附加 外加 
另谋生路	［同］改朝换代 
另日	［同］改日 改天 指日 在即 
另外	［同］余外 除此以外 此外 
另眼看待	［同］另眼相看 刮目相看 敝帚自珍 敝帚千金 
另眼相看	［同］刮目相看 敝帚自珍 敝帚千金 另眼看待 ［反］等闲视之 视如草芥 不屑一顾 
令1	［同］号令 勒令 命令 命 
令2	［同］酒令 
令3	［同］让 叫 使得 使 
令4	［同］时节 时 喷 时令 
令5	［同］小令 
令爱	［同］令女 千金 女公子 ［反］小女 
令慈	［同］老太太 令堂 
令德	［同］美德 懿德 馨德 贤德 
令弟	［反］舍弟 家弟 
令丁	［同］铃铎 响器 铃 铃铛 
令箭	［同］令旗 
令节	［同］佳节 
令姐	［反］家姐 家姊 
令郎	［同］令子 公子 哥儿 令嗣 ［反］小儿 豚儿 犬子 
令妹	［同］令贤妹 ［反］舍妹 
令名1	［同］令闻 名望 美誉 
令名2	［同］美称 佳名 英名 美名 
令女	［同］千金 女公子 令爱 
令旗	［同］令箭 
令亲	［同］尊亲 贵亲 
令人	［同］好人 良民 吉人 
令人发指	［同］发指尽裂 怒发冲冠 义愤填膺 
令嗣	［同］令郎 令子 公子 哥儿 
令堂	［同］令慈 老太太 
令闻	［同］名望 美誉 令名 
令翁	［同］尊翁 老太爷 令尊 
令贤妹	［同］令妹 
令行禁止	［同］言出法随 
令兄	［同］尊兄 ［反］家兄 
令子	［同］公子 哥儿 令嗣 令郎 ［反］小儿 豚儿 犬子 
令尊	［同］令翁 尊翁 老太爷 
令姊	［反］家姐 家姊 
令媛	［反］小女 
溜1	［同］打滑 滑 
溜2	［同］列 行 排 进 
溜3	［同］溜之大吉 溜走 溜号 
溜4	［同］檐溜 檐水 
溜冰	［同］滑冰 
溜达	［同］遛 转悠 散步 
溜号	［同］溜 溜之大吉 溜走 
溜尖	［同］尖锐 尖削 尖 
溜溜转	［同］滚动 骨碌 滚 
溜须拍马	［反］摸老虎屁股 太岁头上动土 
溜圆	［同］滴溜儿圆 圆 浑圆 滚圆 
溜之大吉	［同］溜走 溜号 溜 
溜走	［同］溜号 溜 溜之大吉 
榴	［同］石榴 安石榴 
榴月	［同］皋月 仲夏 五月 蒲月 
留	［同］剩 遗留 ［反］离 去 
留把柄	［同］予人口实 留话柄 
留班	［反］升级 
留步1	［同］慢走 
留步2	［同］请回 
留存	［同］长存 
留地步	［同］留余地 留后路 留后手 留后步 
留后步	［同］留地步 留余地 留后路 留后手 
留后患	［同］遗患 养虎遗患 放虎归山 后患无穷 
留后路	［同］留后手 留后步 留地步 留余地 
留后手	［同］留后步 留地步 留余地 留后路 
留胡子	［同］蓄须 养胡髭 
留话柄	［同］留把柄 予人口实 
留级	［反］升级 
留恋	［同］眷恋 依恋 依依不舍 恋恋不舍 ［反］舍弃 
留鸟	［反］候鸟 
留宿	［同］宿 借宿 住宿 歇宿 
留学	［同］留洋 镀金 
留言	［同］留字 
留洋	［同］镀金 留学 
留影	［同］拍摄 拍照 照相 摄影 
留余地	［同］留后路 留后手 留后步 留地步 
留字	［同］留言 
瘤	［同］瘤子 肿瘤 
瘤子	［同］肿瘤 瘤 
流	［同］流动 流淌 淌 注 ［反］源 
流播	［同］传播 传布 流布 散播 
流波	［同］水 流水 清流 水流 
流布	［同］散播 流播 传播 传布 
流畅	［反］生涩 
流程	［同］工艺流程 生产程序 流水线 
流传	［同］传流至今 名垂千古 沿袭风俗 一脉相传 
流窜	［同］奔窜 东奔西窜 逃窜 窜逃 
流荡	［同］漂泊 漂流 浪迹 流浪 ［反］定居 
流动	［同］流淌 淌 注 流 ［反］固定 
流动资金	［反］固定资金 
流毒	［同］荼毒 蛊惑 麻醉 毒害 
流芳百世	［同］万古流芳 ［反］遗臭万年 
流放	［同］充军 发配 流配 刺配 
流感	［同］流行性感冒 
流汗	［同］淌汗 挥汗 出汗 
流浪	［同］流荡 漂泊 漂流 浪迹 ［反］定居 
流浪汉	［同］游民 流民 浪人 瘪三 
流泪	［同］挥泪 洒泪 抛泪 涕零 
流离颠沛	［同］颠沛流离 流离失所 流离转徙 浮家泛宅 
流离失所	［同］流离转徙 浮家泛宅 流离颠沛 颠沛流离 ［反］安居乐业 
流离转徙	［同］浮家泛宅 流离颠沛 颠沛流离 流离失所 ［反］安居乐业 
流利	［反］生涩 
流露	［同］显 露 显露 表露 
流氓	［同］痞子 痞棍 泼皮 光棍 
流民	［同］浪人 瘪三 流浪汉 游民 
流年不利	［同］生不逢辰 命途多舛 时乘命蹇 多灾多难 
流配	［同］刺配 流放 充军 发配 
流入	［同］注入 
流水	［同］清流 水流 流波 水 ［反］死水 
流水线	［同］流程 工艺流程 生产程序 
流水帐	［同］日记帐 序时帐 
流速	［同］风速 光速 音速 超音速 
流淌	［同］淌 注 流 流动 
流体	［同］半流体 液体 气体 ［反］固体 
流通	［反］呆滞 
流亡	［同］逃亡 亡命 
流网	［同］围网 拖网 
流星	［同］飞星 贼星 客星 
流行1	［同］风靡 
流行2	［同］风行全国 盛行 风靡一时 时兴 
流行性感冒	［同］流感 
流行性腮腺炎	［同］痄腮 
流行性乙型脑炎	［同］脑炎 大脑炎 
流言	［同］诽闻 流言蜚语 风言风语 
流言蜚语	［同］风言风语 流言 诽闻 
流域	［同］上游 上流 
流徙	［反］定居 
柳	［同］杨柳 
柳暗花明	［反］山穷水尽 走投无路 穷途末路 
柳木	［同］楠木 铁力木 紫檀 杉木 
六	［同］陆 
六亲	［同］亲族 本家 亲丁 亲眷 
六亲不认	［同］离经叛道 心怀异志 大逆不道 
六神无主	［同］神魂颠倒 心慌意乱 心乱如麻 若有所失 ［反］不慌不忙 从容不迫 处之泰然 泰然自若 神色自若 
六十岁	［同］花甲 耳顺 杖乡 
六仙桌	［同］炕桌 餐桌 
六弦琴	［同］吉他 
六畜	［同］六畜兴旺 牲畜 畜 家畜 
六畜兴旺	［同］牲畜 畜 家畜 六畜 
六一儿童节	［同］六一国际儿童节 国际儿童节 儿童节 六一节 
六一国际儿童节	［同］国际儿童节 儿童节 六一节 六一儿童节 
六一节	［同］六一儿童节 六一国际儿童节 国际儿童节 儿童节 
六月	［同］且月 荷月 伏月 季夏 
六指儿1	［同］枝指 岐指 六指儿 骈拇 
六指儿2	［同］骈拇 六指儿 枝指 岐指 
龙胆紫	［同］甲紫 
龙灯	［同］龙舞 
龙飞凤舞	［同］龙蛇飞动 天马行空 纵横驰骋 
龙骨	［同］骨 架 骨架 骨子 
龙盘虎踞	［同］一夫当关 万夫莫开 虎踞龙盘 
龙蛇飞动	［同］天马行空 纵横驰骋 龙飞凤舞 
龙腾虎跃	［同］生动活泼 生气勃勃 生龙活虎 欢蹦乱跳 ［反］老气横秋 暮气沉沉 死气沉沉 
龙舞	［同］龙灯 
龙须菜	［同］宝塔菜 草石蚕 甘露 麒麟菜 
龙眼	［同］桂圆 
龙吟虎啸	［同］声如洪钟 
聋	［同］背 聩 耳背 耳沉 
笼	［同］笼罩 
笼络	［同］收揽 收买 拉拢 收拢 
笼统	［反］具体 
笼罩	［同］笼 
笼着手	［同］抄手 袖手 揣手儿 
隆冬	［同］寒冬 穷冬 深冬 严冬 ［反］盛夏 盛暑 
隆隆	［同］咕隆 隐隐 虺虺 轰隆 
隆起	［同］突起 突出 鼓出 凸起 ［反］陷落 
垄断	［同］据 占据 独占 把持 
垄断资本	［同］独占资本 
垄作	［同］复种 等高种植 密植 
拢	［同］梳 梳理 
拢共	［同］合计 共计 总计 一共 
楼房	［反］平房 
楼阁	［同］高阁 飞阁 阁 
楼座	［同］主位 客位 打横 雅座 
娄子	［同］祸事 祸乱 乱子 
搂1	［同］扳动 扳 
搂2	［同］揽 搂抱 拥抱 抱 
搂抱	［同］拥抱 抱 搂 揽 
漏	［同］透 渗透 
漏底	［同］泄底 露底 
漏电	［同］走电 跑电 
漏洞1	［同］洞 孔 眼儿 窦 
漏洞2	［同］好害 好坏 是非 差错 
漏洞3	［同］漏子 破绽 马脚 尾巴 
漏洞百出	［反］天衣无缝 
漏斗	［同］漏子 
漏风	［同］透风 
漏光	［同］透光 
漏气	［同］透气 
漏水	［同］透水 渗水 
漏网之鱼	［同］逃犯 再逃犯 
漏夜	［同］夤夜 夜阑 深更半夜 深夜 
漏子1	［同］漏斗 
漏子2	［同］破绽 马脚 尾巴 漏洞 
陋规	［同］陈规 陈规陋习 
颅	［同］颅脑 脑颅 
颅骨	［同］颧骨 头骨 
颅脑	［同］脑颅 颅 
炉	［同］炉子 火炉 
炉火纯青	［同］目无全牛 训练有素 滚瓜烂熟 
炉料	［同］磨料 鞣料 
炉条	［同］炉箅子 
炉渣	［同］废渣 钢渣 
炉子	［同］火炉 炉 
炉箅子	［同］炉条 
掳掠	［同］掠取 攫取 抢掠 劫 
卤虾油	［同］色拉油 豆油 黄油 
鲁殿灵光	［同］灵光独存 岿然独存 硕果仅存 
鲁钝	［同］迟钝 顽钝 驽钝 呆笨 
鲁莽	［同］莽撞 冒失 冒昧 轻率 ［反］慎重 郑重 
鲁鱼帝虎	［同］纰谬 语病 以讹传讹 三豕涉河 
碌碌无为	［同］无所作为 不堪造就 不成气候 不可救药 
碌碡	［同］磙子 磙 石磙 
露1	［同］露水 露珠 露水珠儿 玉露 ［反］藏 
露2	［同］显露 表露 流露 显 
露板	［同］檄文 檄书 檄 露布 
露布	［同］露板 檄文 檄书 檄 
露出	［反］遮盖 遮蔽 遮挡 遮掩 遮住 
露底	［同］漏底 泄底 
露脊鲸	［同］鲸鱼 鲸 抹香鲸 长须鲸 
露酒	［同］果酒 
露脸	［反］丢脸 丢人 现眼 
露面	［同］照面 露头 露相 出面 
露凝	［同］浓霜 繁霜 严霜 霜 
露禽	［同］仙客 玄鸟 仙鹤 鹤 
露水	［同］露珠 露水珠儿 玉露 露 
露水珠儿	［同］玉露 露 露水 露珠 
露天	［同］野外 郊外 
露头	［同］露相 出面 露面 照面 
露馅儿	［同］露行迹 暴露无遗 暴露 表露 
露相	［同］出面 露面 照面 露头 
露行迹	［同］暴露无遗 暴露 表露 露馅儿 
露一手	［同］牛刀小试 大显身手 大显神通 大殿经纶 
露珠	［同］露水珠儿 玉露 露 露水 
路1	［同］径 道路 路途 路径 
路2	［同］路程 行程 里程 路途 
路3	［同］线 路线 线路 
路碑	［同］里程碑 
路标	［同］导标 岸标 草标儿 商标 
路不拾遗	［同］秋毫无犯 清明 修明 夜不闭户 
路程	［同］行程 里程 路途 路 
路费	［同］旅费 盘缠 旅差费 
路劫	［同］断路 
路径1	［同］路 径 道路 路途 
路径2	［同］门径 蹊径 门路 途径 
路口	［同］街口 街头 十字路口 十字街头 
路牌	［同］指路牌 
路签	［同］通行证 路条 
路上	［同］中线 半途 半道 半路 
路数	［同］招 招数 
路条	［同］路签 通行证 
路途1	［同］路 路程 行程 里程 
路途2	［同］路径 路 径 道路 
路线	［同］线路 路 线 
鹿角	［同］御鹿砦 鹿寨 
鹿死不择音	［同］急切 迫切 如饥如渴 饥不择食 
鹿寨	［同］鹿角 御鹿砦 
禄	［同］俸禄 官俸 俸 
录入员	［同］打字员 
录象	［同］定影 用光 对光 取景 
录音	［同］灌音 
陆1	［同］六 
陆2	［同］洲 陆地 大陆 ［反］水 
陆稻	［同］旱稻 
陆地	［同］大陆 陆 洲 ［反］海洋 
陆架	［同］大陆架 陆棚 
陆路	［同］旱路 旱道 ［反］水路 水道 
陆棚	［同］陆架 大陆架 
陆运	［同］水运 交通运输业 客运 货运 
戮力同心	［同］一心一德 齐心合力 同心同德 同心协力 ［反］离心离德 同床异梦 貌合神离 
驴皮胶	［同］阿胶 
驴皮影	［同］影 皮影戏 影戏 
吕剧	［同］山东琴书 
旅伴	［同］同道同好 一行 一路 同路人 
旅差费	［同］路费 旅费 盘缠 
旅次	［同］舟次 途次 客次 军次 
旅店	［同］店 旅馆 旅社 客店 
旅费	［同］盘缠 旅差费 路费 
旅馆	［同］旅社 客店 旅店 店 
旅居	［同］侨寓 寄寓 客寓 寄居 
旅客	［同］客人 旅人 客子 游子 
旅人	［同］客子 游子 旅客 客人 
旅社	［同］客店 旅店 店 旅馆 
旅游	［同］游览 游历 登临 巡游 
旅游者	［同］过客 游人 游客 游者 
履	［同］走 走行 步 
履带	［同］链轨 
履历	［同］简历 学历 
履历表	［同］申请书 委任状 
履行	［同］执行 施行 实行 推行 
履约	［同］赴约 践约 ［反］失约 负约 违约 背约 爽约 
屡次	［同］累次 一再 再三 多次 
屡次三番	［同］三番五次 一次一次 翻来覆去 再三 
屡见不鲜	［反］少见多怪 见所未见 
屡建奇勋	［同］勋劳 勋绩 勋业 功勋 
屡教不改	［同］不到黄河心不死 讳疾忌医 
氯	［同］氯气 
氯化钠	［同］盐巴 盐 食盐 
氯气	［同］氯 
律1	［同］法 法律 法度 刑名 
律2	［同］律诗 
律诗	［同］律 
率	［同］比值 比率 
率先	［同］第一 首创 首先 
率真	［同］真心 纯真 真挚 真率 
率直	［同］直爽 爽快 朴直 直率 
滤	［同］淋 漉 过滤 过淋 
滤液	［同］溶液 
绿	［反］红 
绿风内障	［同］青风内障 青盲 青光眼 
绿荫	［同］荫 阴凉儿 树凉儿 树荫 
峦	［同］峰峦 山峦 岗峦 叠嶂 
挛缩	［同］瑟缩 龟缩 蜷缩 
孪生	［同］双生 
孪生子	［同］双生子 孪子 双胞胎 
孪子	［同］双胞胎 孪生子 双生子 
卵	［同］石 河卵石 鹅卵石 
卵白	［同］蛋清 蛋白 
卵黄	［同］蛋黄 
卵子	［反］精子 
乱	［同］骚动 骚扰 动乱 变乱 ［反］治 
乱兵	［同］残兵 残卒 败兵 溃兵 
乱弹琴	［同］瞎咧咧 
乱道	［同］胡说 胡扯 瞎说 乱说 
乱搅	［同］胡闹 胡来 胡搅 乱来 
乱绞丝儿	［同］绞丝儿 绞丝旁儿 
乱来	［同］乱搅 胡闹 胡来 胡搅 
乱世	［反］治世 盛世 
乱说	［同］乱道 胡说 胡扯 瞎说 
乱子	［同］娄子 祸事 祸乱 
掠	［同］拂 
掠取	［同］攫取 抢掠 劫 掳掠 
掠影	［同］纪行 游记 一瞥 剪影 
略	［同］微 有点 有些 稍 ［反］详 
略胜一筹	［反］稍逊一筹 
轮班	［同］轮换 轮流 轮番 更番 
轮番	［同］更番 轮班 轮换 轮流 
轮换	［同］轮流 轮番 更番 轮班 
轮流	［同］轮番 更番 轮班 轮换 
轮牧	［同］游牧 
轮栽	［同］倒茬 调茬 轮作 轮种 
轮值	［同］值班 当班 值勤 值日 
轮种	［同］轮栽 倒茬 调茬 轮作 
轮轴	［同］轴心 
轮作	［同］轮种 轮栽 倒茬 调茬 ［反］连作 
伦次	［同］系统 眉目 条理 脉络 
沦	［同］沦为 沦落 
沦落	［同］沦 沦为 
沦丧	［同］丧失 丧权辱国 
沦为	［同］沦落 沦 
沦陷	［同］陷落 失陷 失守 
沦陷区	［同］敌占区 失地 
论调	［同］调调 
论断	［同］判明 判断 断定 判定 
论功	［同］评功 叙功 
论据	［同］论证 
论理1	［同］论战 论争 说理 讲理 
论理2	［同］逻辑 
论理学	［同］逻缉学 名学 
论述	［同］论说 阐述 阐释 阐发 
论说	［同］阐述 阐释 阐发 论述 
论说文	［同］说明文 
论文	［同］策论 
论战	［同］论争 说理 讲理 论理 
论争	［同］说理 讲理 论理 论战 
论证	［同］论据 
论著	［同］专著 
论资排辈	［同］循次进取 依流平进 
论罪	［同］判罪 
萝卜	［同］莱菔 
螺号	［同］汽笛 警笛 
螺距	［同］焦距 行距 
螺丝刀	［同］螺丝起子 
螺丝起子	［同］螺丝刀 
螺纹	［同］罗纹 指印 斗萁 指纹 
罗1	［同］绸 缎 绉 
罗2	［同］淘 筛 
罗汉病	［同］血吸虫病 
罗列1	［同］摆 陈列 陈放 
罗列2	［同］数说 列举 
罗曼史1	［同］桃色事件 风流韵事 艳事 
罗曼史2	［同］艳史 浪漫史 
罗刹	［同］惨绿少年 丑八怪 夜叉 
罗唆	［反］干脆 爽快 
罗纹	［同］指印 斗萁 指纹 螺纹 
逻辑	［同］论理 
逻辑学	［同］名学 论理学 
裸露	［同］赤露 袒露 曝露 光 ［反］遮盖 遮蔽 遮挡 遮掩 遮住 
裸麦	［同］青稞 稞麦 
裸体	［同］赤裸裸 赤条条 精光 赤身裸体 
裸子植物	［反］被子植物 
裸子植物	［反］被子植物  
落1	［同］凋零 凋残 调谢 萎谢 ［反］涨 
落2	［同］掉 掉落 堕 落下 
落3	［同］散落 洒 撒 撒落 
落4	［同］属 归 归于 归属 
落5	［同］沾 博 
落笔成章	［同］搦管即成 援笔立成 援笔立成 
落笔千言	［同］七步成诗 下笔成章 出口成章 咳唾成珠 
落膘	［同］跌膘 掉膘 消瘦 衣带渐宽 
落泊	［同］落拓 潦倒 坎坷 
落差	［同］标高 水位 
落潮	［同］退潮 
落成	［同］完成 完结 完了 完事 
落到	［同］落得 
落得	［同］落到 
落地	［反］上天 
落第	［同］下第 名落孙山 ［反］及第 登科 登第 
落发	［同］剃度 遁入空门 出家 削发 
落后1	［同］后进 落伍 ［反］进步 先进 
落后2	［同］落伍 掉队 退化 退步 
落户	［同］安家落户 定居 安家 
落荒而逃	［同］临阵脱逃 逃之夭夭 远走高飞 望风而逃 
落价	［同］降价 减价 跌价 削价 ［反］涨价 
落脚	［同］小住 暂住 暂寓 暂居 
落井投石	［同］乘人之危 趁火打劫 投井下石 落井下石 
落井下石	［同］落井投石 乘人之危 趁火打劫 投井下石 
落款	［同］下款 
落雷1	［同］雷霆 雷 霹雳 霹雷 
落雷2	［同］霹雳 雷鸣 雷震 打雷 
落了	［同］下降 降落 下落 跌落 
落落	［同］疏 稀 稀疏 疏落 
落落大方	［同］雍容大雅 羽扇纶巾 
落落寡合	［同］一片冰心 与世无争 洁身自好 
落日	［同］夕阳 残阳 
落色	［同］脱色 掉色 走色 褪色 
落生	［同］生 诞生 出生 降生 
